alist-encrypt  | 2026-06-04T20:48:12 [req-1d876f] [/] [request] GET / status=200 bytes=1425 duration=7.631096ms
alist-encrypt  | 2026-06-04T20:48:22 [req-5f7d8e] [redirect:/9ce6ebfa49ddae1f556effee42600169] [redirect] Decrypt request key=9ce6ebfa49ddae1f556effee42600169 display=/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4 host=ykj-eos-dg5-01.eos-dongguan-6.cmecloud.cn range=bytes=0- strategy=/移动云盘156/encrypt
alist-encrypt  | 2026-06-04T20:48:22+08:00 WRN Decrypted data looks encrypted — wrong password or file size? sample_len=512 unique_bytes=224 zeros=3
alist-encrypt  | 2026-06-04T20:48:22+08:00 INF Decrypt playback attempt failed category=redirect consumer_scenario=redirect_playback display_path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4" failure_reason=decrypt_validation_failed fresh_retry=false path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4" range=bytes=0- strategy=range target_url=https://ykj-eos-dg5-01.eos-dongguan-6.cmecloud.cn/639b629beb74432e95c0e66653e95c0e086?response-content-disposition=attachment%3B%20filename%2A%3DUTF-8%27%27i6a%2B5VOWe~OQG%2BctcG4of%2BmQeoHYlfL3cg0b5V%2BYO0--k.bin&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20260604T124821Z&X-Amz-SignedHeaders=host&X-Amz-Expires=900&X-Amz-Credential=9T1UKBIX6OJSR5XN2F2T%2F20260604%2Fdefault%2Fs3%2Faws4_request&t=2&u=1039986731129007951&ot=personal&oi=1039986731129007951&f=FlriampZKbVRXuvWAYVFM24A7kQTESntU&ext=eyJ1dCI6MX0%3D&X-Amz-Signature=842e2cdbc6f9d24853e670f760fd7306ff420feeb340084ca815363d6691a0ae
alist-encrypt  | 2026-06-04T20:48:22+08:00 INF Decrypt playback attempt failed category=redirect consumer_scenario=redirect_playback display_path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4" failure_reason=decrypt_validation_failed fresh_retry=true path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4" range=bytes=0- strategy=range target_url=https://ykj-eos-dg5-01.eos-dongguan-6.cmecloud.cn/639b629beb74432e95c0e66653e95c0e086?response-content-disposition=attachment%3B%20filename%2A%3DUTF-8%27%27i6a%2B5VOWe~OQG%2BctcG4of%2BmQeoHYlfL3cg0b5V%2BYO0--k.bin&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20260604T124821Z&X-Amz-SignedHeaders=host&X-Amz-Expires=900&X-Amz-Credential=9T1UKBIX6OJSR5XN2F2T%2F20260604%2Fdefault%2Fs3%2Faws4_request&t=2&u=1039986731129007951&ot=personal&oi=1039986731129007951&f=FlriampZKbVRXuvWAYVFM24A7kQTESntU&ext=eyJ1dCI6MX0%3D&X-Amz-Signature=842e2cdbc6f9d24853e670f760fd7306ff420feeb340084ca815363d6691a0ae
alist-encrypt  | 2026-06-04T20:48:22+08:00 WRN Decrypted data looks encrypted — wrong password or file size? sample_len=512 unique_bytes=224 zeros=3
alist-encrypt  | 2026-06-04T20:48:22+08:00 INF Decrypt playback attempt failed category=redirect consumer_scenario=redirect_playback display_path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4" failure_reason=decrypt_validation_failed fresh_retry=false path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4" range=bytes=0- strategy=range target_url=https://ykj-eos-dg5-01.eos-dongguan-6.cmecloud.cn/639b629beb74432e95c0e66653e95c0e086?response-content-disposition=attachment%3B%20filename%2A%3DUTF-8%27%27i6a%2B5VOWe~OQG%2BctcG4of%2BmQeoHYlfL3cg0b5V%2BYO0--k.bin&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20260604T124821Z&X-Amz-SignedHeaders=host&X-Amz-Expires=900&X-Amz-Credential=9T1UKBIX6OJSR5XN2F2T%2F20260604%2Fdefault%2Fs3%2Faws4_request&t=2&u=1039986731129007951&ot=personal&oi=1039986731129007951&f=FlriampZKbVRXuvWAYVFM24A7kQTESntU&ext=eyJ1dCI6MX0%3D&X-Amz-Signature=842e2cdbc6f9d24853e670f760fd7306ff420feeb340084ca815363d6691a0ae
alist-encrypt  | 2026-06-04T20:48:22+08:00 ERR Failed to proxy redirect error="decryption validation failed: output appears encrypted (wrong password or file size?)" failure=decrypt_validation_failed path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4"
alist-encrypt  | 2026-06-04T20:48:22 [req-5f7d8e] [redirect:/9ce6ebfa49ddae1f556effee42600169] [request] GET /redirect/9ce6ebfa49ddae1f556effee42600169 status=502 bytes=44 duration=307.442118ms
alist-encrypt  | 2026-06-04T20:48:23 [req-18118c] [redirect:/9ce6ebfa49ddae1f556effee42600169] [redirect] Decrypt request key=9ce6ebfa49ddae1f556effee42600169 display=/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4 host=ykj-eos-dg5-01.eos-dongguan-6.cmecloud.cn range=bytes=0- strategy=/移动云盘156/encrypt
alist-encrypt  | 2026-06-04T20:48:23+08:00 WRN Decrypted data looks encrypted — wrong password or file size? sample_len=512 unique_bytes=224 zeros=3
alist-encrypt  | 2026-06-04T20:48:23+08:00 INF Decrypt playback attempt failed category=redirect consumer_scenario=redirect_playback display_path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4" failure_reason=decrypt_validation_failed fresh_retry=false path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4" range=bytes=0- strategy=range target_url=https://ykj-eos-dg5-01.eos-dongguan-6.cmecloud.cn/639b629beb74432e95c0e66653e95c0e086?response-content-disposition=attachment%3B%20filename%2A%3DUTF-8%27%27i6a%2B5VOWe~OQG%2BctcG4of%2BmQeoHYlfL3cg0b5V%2BYO0--k.bin&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20260604T124821Z&X-Amz-SignedHeaders=host&X-Amz-Expires=900&X-Amz-Credential=9T1UKBIX6OJSR5XN2F2T%2F20260604%2Fdefault%2Fs3%2Faws4_request&t=2&u=1039986731129007951&ot=personal&oi=1039986731129007951&f=FlriampZKbVRXuvWAYVFM24A7kQTESntU&ext=eyJ1dCI6MX0%3D&X-Amz-Signature=842e2cdbc6f9d24853e670f760fd7306ff420feeb340084ca815363d6691a0ae
alist-encrypt  | 2026-06-04T20:48:23+08:00 INF Decrypt playback attempt failed category=redirect consumer_scenario=redirect_playback display_path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4" failure_reason=decrypt_validation_failed fresh_retry=true path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4" range=bytes=0- strategy=range target_url=https://ykj-eos-dg5-01.eos-dongguan-6.cmecloud.cn/639b629beb74432e95c0e66653e95c0e086?response-content-disposition=attachment%3B%20filename%2A%3DUTF-8%27%27i6a%2B5VOWe~OQG%2BctcG4of%2BmQeoHYlfL3cg0b5V%2BYO0--k.bin&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20260604T124821Z&X-Amz-SignedHeaders=host&X-Amz-Expires=900&X-Amz-Credential=9T1UKBIX6OJSR5XN2F2T%2F20260604%2Fdefault%2Fs3%2Faws4_request&t=2&u=1039986731129007951&ot=personal&oi=1039986731129007951&f=FlriampZKbVRXuvWAYVFM24A7kQTESntU&ext=eyJ1dCI6MX0%3D&X-Amz-Signature=842e2cdbc6f9d24853e670f760fd7306ff420feeb340084ca815363d6691a0ae
alist-encrypt  | 2026-06-04T20:48:23+08:00 WRN Decrypted data looks encrypted — wrong password or file size? sample_len=512 unique_bytes=224 zeros=3
alist-encrypt  | 2026-06-04T20:48:23+08:00 INF Decrypt playback attempt failed category=redirect consumer_scenario=redirect_playback display_path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4" failure_reason=decrypt_validation_failed fresh_retry=false path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4" range=bytes=0- strategy=range target_url=https://ykj-eos-dg5-01.eos-dongguan-6.cmecloud.cn/639b629beb74432e95c0e66653e95c0e086?response-content-disposition=attachment%3B%20filename%2A%3DUTF-8%27%27i6a%2B5VOWe~OQG%2BctcG4of%2BmQeoHYlfL3cg0b5V%2BYO0--k.bin&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20260604T124821Z&X-Amz-SignedHeaders=host&X-Amz-Expires=900&X-Amz-Credential=9T1UKBIX6OJSR5XN2F2T%2F20260604%2Fdefault%2Fs3%2Faws4_request&t=2&u=1039986731129007951&ot=personal&oi=1039986731129007951&f=FlriampZKbVRXuvWAYVFM24A7kQTESntU&ext=eyJ1dCI6MX0%3D&X-Amz-Signature=842e2cdbc6f9d24853e670f760fd7306ff420feeb340084ca815363d6691a0ae
alist-encrypt  | 2026-06-04T20:48:23 [req-18118c] [redirect:/9ce6ebfa49ddae1f556effee42600169] [request] GET /redirect/9ce6ebfa49ddae1f556effee42600169 status=502 bytes=44 duration=208.733657ms
alist-encrypt  | 2026-06-04T20:48:23+08:00 ERR Failed to proxy redirect error="decryption validation failed: output appears encrypted (wrong password or file size?)" failure=decrypt_validation_failed path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4"
alist-encrypt  | 2026-06-04T20:48:24 [req-0d24a4] [redirect:/9ce6ebfa49ddae1f556effee42600169] [redirect] Decrypt request key=9ce6ebfa49ddae1f556effee42600169 display=/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4 host=ykj-eos-dg5-01.eos-dongguan-6.cmecloud.cn range=bytes=0- strategy=/移动云盘156/encrypt
alist-encrypt  | 2026-06-04T20:48:24+08:00 WRN Decrypted data looks encrypted — wrong password or file size? sample_len=512 unique_bytes=224 zeros=3
alist-encrypt  | 2026-06-04T20:48:24+08:00 INF Decrypt playback attempt failed category=redirect consumer_scenario=redirect_playback display_path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4" failure_reason=decrypt_validation_failed fresh_retry=false path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4" range=bytes=0- strategy=range target_url=https://ykj-eos-dg5-01.eos-dongguan-6.cmecloud.cn/639b629beb74432e95c0e66653e95c0e086?response-content-disposition=attachment%3B%20filename%2A%3DUTF-8%27%27i6a%2B5VOWe~OQG%2BctcG4of%2BmQeoHYlfL3cg0b5V%2BYO0--k.bin&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20260604T124821Z&X-Amz-SignedHeaders=host&X-Amz-Expires=900&X-Amz-Credential=9T1UKBIX6OJSR5XN2F2T%2F20260604%2Fdefault%2Fs3%2Faws4_request&t=2&u=1039986731129007951&ot=personal&oi=1039986731129007951&f=FlriampZKbVRXuvWAYVFM24A7kQTESntU&ext=eyJ1dCI6MX0%3D&X-Amz-Signature=842e2cdbc6f9d24853e670f760fd7306ff420feeb340084ca815363d6691a0ae
alist-encrypt  | 2026-06-04T20:48:24+08:00 INF Decrypt playback attempt failed category=redirect consumer_scenario=redirect_playback display_path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4" failure_reason=decrypt_validation_failed fresh_retry=true path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4" range=bytes=0- strategy=range target_url=https://ykj-eos-dg5-01.eos-dongguan-6.cmecloud.cn/639b629beb74432e95c0e66653e95c0e086?response-content-disposition=attachment%3B%20filename%2A%3DUTF-8%27%27i6a%2B5VOWe~OQG%2BctcG4of%2BmQeoHYlfL3cg0b5V%2BYO0--k.bin&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20260604T124821Z&X-Amz-SignedHeaders=host&X-Amz-Expires=900&X-Amz-Credential=9T1UKBIX6OJSR5XN2F2T%2F20260604%2Fdefault%2Fs3%2Faws4_request&t=2&u=1039986731129007951&ot=personal&oi=1039986731129007951&f=FlriampZKbVRXuvWAYVFM24A7kQTESntU&ext=eyJ1dCI6MX0%3D&X-Amz-Signature=842e2cdbc6f9d24853e670f760fd7306ff420feeb340084ca815363d6691a0ae
alist-encrypt  | 2026-06-04T20:48:24+08:00 WRN Decrypted data looks encrypted — wrong password or file size? sample_len=512 unique_bytes=224 zeros=3
alist-encrypt  | 2026-06-04T20:48:24+08:00 INF Decrypt playback attempt failed category=redirect consumer_scenario=redirect_playback display_path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4" failure_reason=decrypt_validation_failed fresh_retry=false path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4" range=bytes=0- strategy=range target_url=https://ykj-eos-dg5-01.eos-dongguan-6.cmecloud.cn/639b629beb74432e95c0e66653e95c0e086?response-content-disposition=attachment%3B%20filename%2A%3DUTF-8%27%27i6a%2B5VOWe~OQG%2BctcG4of%2BmQeoHYlfL3cg0b5V%2BYO0--k.bin&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20260604T124821Z&X-Amz-SignedHeaders=host&X-Amz-Expires=900&X-Amz-Credential=9T1UKBIX6OJSR5XN2F2T%2F20260604%2Fdefault%2Fs3%2Faws4_request&t=2&u=1039986731129007951&ot=personal&oi=1039986731129007951&f=FlriampZKbVRXuvWAYVFM24A7kQTESntU&ext=eyJ1dCI6MX0%3D&X-Amz-Signature=842e2cdbc6f9d24853e670f760fd7306ff420feeb340084ca815363d6691a0ae
alist-encrypt  | 2026-06-04T20:48:24+08:00 ERR Failed to proxy redirect error="decryption validation failed: output appears encrypted (wrong password or file size?)" failure=decrypt_validation_failed path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4"
alist-encrypt  | 2026-06-04T20:48:24 [req-0d24a4] [redirect:/9ce6ebfa49ddae1f556effee42600169] [request] GET /redirect/9ce6ebfa49ddae1f556effee42600169 status=502 bytes=44 duration=235.055923ms
alist-encrypt  | 2026-06-04T20:48:25 [req-378318] [redirect:/9ce6ebfa49ddae1f556effee42600169] [redirect] Decrypt request key=9ce6ebfa49ddae1f556effee42600169 display=/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4 host=ykj-eos-dg5-01.eos-dongguan-6.cmecloud.cn range=bytes=0- strategy=/移动云盘156/encrypt
alist-encrypt  | 2026-06-04T20:48:25+08:00 WRN Decrypted data looks encrypted — wrong password or file size? sample_len=512 unique_bytes=224 zeros=3
alist-encrypt  | 2026-06-04T20:48:25+08:00 INF Decrypt playback attempt failed category=redirect consumer_scenario=redirect_playback display_path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4" failure_reason=decrypt_validation_failed fresh_retry=false path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4" range=bytes=0- strategy=range target_url=https://ykj-eos-dg5-01.eos-dongguan-6.cmecloud.cn/639b629beb74432e95c0e66653e95c0e086?response-content-disposition=attachment%3B%20filename%2A%3DUTF-8%27%27i6a%2B5VOWe~OQG%2BctcG4of%2BmQeoHYlfL3cg0b5V%2BYO0--k.bin&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20260604T124821Z&X-Amz-SignedHeaders=host&X-Amz-Expires=900&X-Amz-Credential=9T1UKBIX6OJSR5XN2F2T%2F20260604%2Fdefault%2Fs3%2Faws4_request&t=2&u=1039986731129007951&ot=personal&oi=1039986731129007951&f=FlriampZKbVRXuvWAYVFM24A7kQTESntU&ext=eyJ1dCI6MX0%3D&X-Amz-Signature=842e2cdbc6f9d24853e670f760fd7306ff420feeb340084ca815363d6691a0ae
alist-encrypt  | 2026-06-04T20:48:25+08:00 INF Decrypt playback attempt failed category=redirect consumer_scenario=redirect_playback display_path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4" failure_reason=decrypt_validation_failed fresh_retry=true path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4" range=bytes=0- strategy=range target_url=https://ykj-eos-dg5-01.eos-dongguan-6.cmecloud.cn/639b629beb74432e95c0e66653e95c0e086?response-content-disposition=attachment%3B%20filename%2A%3DUTF-8%27%27i6a%2B5VOWe~OQG%2BctcG4of%2BmQeoHYlfL3cg0b5V%2BYO0--k.bin&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20260604T124821Z&X-Amz-SignedHeaders=host&X-Amz-Expires=900&X-Amz-Credential=9T1UKBIX6OJSR5XN2F2T%2F20260604%2Fdefault%2Fs3%2Faws4_request&t=2&u=1039986731129007951&ot=personal&oi=1039986731129007951&f=FlriampZKbVRXuvWAYVFM24A7kQTESntU&ext=eyJ1dCI6MX0%3D&X-Amz-Signature=842e2cdbc6f9d24853e670f760fd7306ff420feeb340084ca815363d6691a0ae
alist-encrypt  | 2026-06-04T20:48:26+08:00 WRN Decrypted data looks encrypted — wrong password or file size? sample_len=512 unique_bytes=224 zeros=3
alist-encrypt  | 2026-06-04T20:48:26+08:00 INF Decrypt playback attempt failed category=redirect consumer_scenario=redirect_playback display_path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4" failure_reason=decrypt_validation_failed fresh_retry=false path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4" range=bytes=0- strategy=range target_url=https://ykj-eos-dg5-01.eos-dongguan-6.cmecloud.cn/639b629beb74432e95c0e66653e95c0e086?response-content-disposition=attachment%3B%20filename%2A%3DUTF-8%27%27i6a%2B5VOWe~OQG%2BctcG4of%2BmQeoHYlfL3cg0b5V%2BYO0--k.bin&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20260604T124821Z&X-Amz-SignedHeaders=host&X-Amz-Expires=900&X-Amz-Credential=9T1UKBIX6OJSR5XN2F2T%2F20260604%2Fdefault%2Fs3%2Faws4_request&t=2&u=1039986731129007951&ot=personal&oi=1039986731129007951&f=FlriampZKbVRXuvWAYVFM24A7kQTESntU&ext=eyJ1dCI6MX0%3D&X-Amz-Signature=842e2cdbc6f9d24853e670f760fd7306ff420feeb340084ca815363d6691a0ae
alist-encrypt  | 2026-06-04T20:48:26 [req-378318] [redirect:/9ce6ebfa49ddae1f556effee42600169] [request] GET /redirect/9ce6ebfa49ddae1f556effee42600169 status=502 bytes=44 duration=238.669384ms
alist-encrypt  | 2026-06-04T20:48:26+08:00 ERR Failed to proxy redirect error="decryption validation failed: output appears encrypted (wrong password or file size?)" failure=decrypt_validation_failed path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4"
alist-encrypt  | 2026-06-04T20:48:27 [req-99ee96] [redirect:/9ce6ebfa49ddae1f556effee42600169] [redirect] Decrypt request key=9ce6ebfa49ddae1f556effee42600169 display=/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4 host=ykj-eos-dg5-01.eos-dongguan-6.cmecloud.cn range=bytes=0- strategy=/移动云盘156/encrypt
alist-encrypt  | 2026-06-04T20:48:27+08:00 WRN Decrypted data looks encrypted — wrong password or file size? sample_len=512 unique_bytes=224 zeros=3
alist-encrypt  | 2026-06-04T20:48:27+08:00 INF Decrypt playback attempt failed category=redirect consumer_scenario=redirect_playback display_path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4" failure_reason=decrypt_validation_failed fresh_retry=false path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4" range=bytes=0- strategy=range target_url=https://ykj-eos-dg5-01.eos-dongguan-6.cmecloud.cn/639b629beb74432e95c0e66653e95c0e086?response-content-disposition=attachment%3B%20filename%2A%3DUTF-8%27%27i6a%2B5VOWe~OQG%2BctcG4of%2BmQeoHYlfL3cg0b5V%2BYO0--k.bin&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20260604T124821Z&X-Amz-SignedHeaders=host&X-Amz-Expires=900&X-Amz-Credential=9T1UKBIX6OJSR5XN2F2T%2F20260604%2Fdefault%2Fs3%2Faws4_request&t=2&u=1039986731129007951&ot=personal&oi=1039986731129007951&f=FlriampZKbVRXuvWAYVFM24A7kQTESntU&ext=eyJ1dCI6MX0%3D&X-Amz-Signature=842e2cdbc6f9d24853e670f760fd7306ff420feeb340084ca815363d6691a0ae
alist-encrypt  | 2026-06-04T20:48:27+08:00 INF Decrypt playback attempt failed category=redirect consumer_scenario=redirect_playback display_path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4" failure_reason=decrypt_validation_failed fresh_retry=true path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4" range=bytes=0- strategy=range target_url=https://ykj-eos-dg5-01.eos-dongguan-6.cmecloud.cn/639b629beb74432e95c0e66653e95c0e086?response-content-disposition=attachment%3B%20filename%2A%3DUTF-8%27%27i6a%2B5VOWe~OQG%2BctcG4of%2BmQeoHYlfL3cg0b5V%2BYO0--k.bin&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20260604T124821Z&X-Amz-SignedHeaders=host&X-Amz-Expires=900&X-Amz-Credential=9T1UKBIX6OJSR5XN2F2T%2F20260604%2Fdefault%2Fs3%2Faws4_request&t=2&u=1039986731129007951&ot=personal&oi=1039986731129007951&f=FlriampZKbVRXuvWAYVFM24A7kQTESntU&ext=eyJ1dCI6MX0%3D&X-Amz-Signature=842e2cdbc6f9d24853e670f760fd7306ff420feeb340084ca815363d6691a0ae
alist-encrypt  | 2026-06-04T20:48:27+08:00 WRN Decrypted data looks encrypted — wrong password or file size? sample_len=512 unique_bytes=224 zeros=3
