alist-encrypt  | 2026-06-05T07:13:52 [req-c12d4e] [api:/auth] [request] POST /api/auth/login status=200 bytes=238 duration=2.617514ms
alist-encrypt  | 2026-06-05T07:13:58 [req-03a9c2] [移动云盘156:/已领取的资源] [propfind] Request path=/移动云盘156/已领取的资源/ rule=none
alist-encrypt  | 2026-06-05T07:13:58 [req-03a9c2] [移动云盘156:/已领取的资源] [propfind] Alist response: status=207
alist-encrypt  | 2026-06-05T07:13:58 [req-03a9c2] [移动云盘156:/已领取的资源] [propfind] Timings upstream=3.194745ms parse=306.407µs decrypt=52ns entries=2 bytes=1275
alist-encrypt  | 2026-06-05T07:13:58 [req-03a9c2] [移动云盘156:/已领取的资源] [request] PROPFIND /dav/移动云盘156/已领取的资源/ status=207 bytes=1275 duration=3.758153ms
alist-encrypt  | 2026-06-05T07:13:58 [req-b84b56] [移动云盘156:/植物大战僵尸v2.1] [propfind] Listing: /移动云盘156/植物大战僵尸v2.1/
alist-encrypt  | 2026-06-05T07:13:58 [req-b84b56] [移动云盘156:/植物大战僵尸v2.1] [propfind] Request path=/移动云盘156/植物大战僵尸v2.1/ rule=none
alist-encrypt  | 2026-06-05T07:13:58 [req-b84b56] [移动云盘156:/植物大战僵尸v2.1] [propfind] Alist response: status=207
alist-encrypt  | 2026-06-05T07:13:58 [req-b84b56] [移动云盘156:/植物大战僵尸v2.1] [propfind] Timings upstream=163.662692ms parse=2.217688ms decrypt=91ns entries=2 bytes=1331
alist-encrypt  | 2026-06-05T07:13:58 [req-b84b56] [移动云盘156:/植物大战僵尸v2.1] [request] PROPFIND /dav/移动云盘156/植物大战僵尸v2.1/ status=207 bytes=1331 duration=165.973011ms
alist-encrypt  | 2026-06-05T07:13:58 [req-9cee17] [移动云盘156:/AI空间] [propfind] Listing: /移动云盘156/AI空间/
alist-encrypt  | 2026-06-05T07:13:58 [req-9cee17] [移动云盘156:/AI空间] [propfind] Request path=/移动云盘156/AI空间/ rule=none
alist-encrypt  | 2026-06-05T07:13:58 [req-9cee17] [移动云盘156:/AI空间] [propfind] Alist response: status=207
alist-encrypt  | 2026-06-05T07:13:58 [req-9cee17] [移动云盘156:/AI空间] [propfind] Timings upstream=245.902584ms parse=8.482008ms decrypt=87ns entries=4 bytes=2391
alist-encrypt  | 2026-06-05T07:13:58 [req-9cee17] [移动云盘156:/AI空间] [request] PROPFIND /dav/移动云盘156/AI空间/ status=207 bytes=2391 duration=254.572923ms
alist-encrypt  | 2026-06-05T07:13:58 [req-86ba1a] [移动云盘156:/ChangAnAuto] [propfind] Listing: /移动云盘156/ChangAnAuto/
alist-encrypt  | 2026-06-05T07:13:58 [req-86ba1a] [移动云盘156:/ChangAnAuto] [propfind] Request path=/移动云盘156/ChangAnAuto/ rule=none
alist-encrypt  | 2026-06-05T07:13:58 [req-86ba1a] [移动云盘156:/ChangAnAuto] [propfind] Alist response: status=207
alist-encrypt  | 2026-06-05T07:13:58 [req-86ba1a] [移动云盘156:/ChangAnAuto] [propfind] Timings upstream=117.408136ms parse=3.25551ms decrypt=207ns entries=2 bytes=1210
alist-encrypt  | 2026-06-05T07:13:58 [req-86ba1a] [移动云盘156:/ChangAnAuto] [request] PROPFIND /dav/移动云盘156/ChangAnAuto/ status=207 bytes=1210 duration=121.431254ms
alist-encrypt  | 2026-06-05T07:13:58 [req-692dba] [移动云盘156:/encrypt] [propfind] Listing: /移动云盘156/encrypt/
alist-encrypt  | 2026-06-05T07:13:58 [req-692dba] [移动云盘156:/encrypt] [propfind] Request path=/移动云盘156/encrypt/ rule=FindByPath
alist-encrypt  | 2026-06-05T07:13:58 [req-692dba] [移动云盘156:/encrypt] [propfind] Alist response: status=207
alist-encrypt  | 2026-06-05T07:13:59 [req-692dba] [移动云盘156:/encrypt] [propfind] Timings upstream=24.651318ms parse=345.57105ms decrypt=55.288169ms entries=326 bytes=159929
alist-encrypt  | 2026-06-05T07:13:59 [req-692dba] [移动云盘156:/encrypt] [request] PROPFIND /dav/移动云盘156/encrypt/ status=207 bytes=159929 duration=425.917358ms
alist-encrypt  | 2026-06-05T07:14:00 [req-7145b5] [移动云盘156:/encrypt] [propfind] Listing: /移动云盘156/encrypt/encrypt/
alist-encrypt  | 2026-06-05T07:14:00 [req-7145b5] [移动云盘156:/encrypt] [propfind] Request path=/移动云盘156/encrypt/encrypt/ rule=FindByPath
alist-encrypt  | 2026-06-05T07:14:00 [req-7145b5] [移动云盘156:/encrypt] [propfind] Alist response: status=207
alist-encrypt  | 2026-06-05T07:14:00 [req-6e1406] [移动云盘156:/encrypt] [propfind] Listing: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part005.mp4
alist-encrypt  | 2026-06-05T07:14:00 [req-6e1406] [移动云盘156:/encrypt] [propfind] Using cached enc path: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part005.mp4 -> /移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0+5V+YO0--1.bin rule=FindByPath
alist-encrypt  | 2026-06-05T07:14:00 [req-6e1406] [移动云盘156:/encrypt] [propfind] Request path=/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0+5V+YO0--1.bin rule=FindByPath
alist-encrypt  | 2026-06-05T07:14:00 [req-6e1406] [移动云盘156:/encrypt] [propfind] Alist response: status=207
alist-encrypt  | 2026-06-05T07:14:00 [req-28ff87] [移动云盘156:/encrypt] [propfind] Listing: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part004.mp4
alist-encrypt  | 2026-06-05T07:14:00 [req-28ff87] [移动云盘156:/encrypt] [propfind] Using cached enc path: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part004.mp4 -> /移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg035V+YO0--6.bin rule=FindByPath
alist-encrypt  | 2026-06-05T07:14:00 [req-28ff87] [移动云盘156:/encrypt] [propfind] Request path=/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg035V+YO0--6.bin rule=FindByPath
alist-encrypt  | 2026-06-05T07:14:00 [req-6e1406] [移动云盘156:/encrypt] [propfind] Timings upstream=4.046061ms parse=1.950351ms decrypt=38.837µs entries=1 bytes=581
alist-encrypt  | 2026-06-05T07:14:00 [req-6e1406] [移动云盘156:/encrypt] [request] PROPFIND /dav/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part005.mp4 status=207 bytes=581 duration=6.139613ms
alist-encrypt  | 2026-06-05T07:14:00 [req-83d0cf] [移动云盘156:/encrypt] [propfind] Listing: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part003.mp4
alist-encrypt  | 2026-06-05T07:14:00 [req-83d0cf] [移动云盘156:/encrypt] [propfind] Using cached enc path: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part003.mp4 -> /移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0p5V+YO0--3.bin rule=FindByPath
alist-encrypt  | 2026-06-05T07:14:00 [req-83d0cf] [移动云盘156:/encrypt] [propfind] Request path=/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0p5V+YO0--3.bin rule=FindByPath
alist-encrypt  | 2026-06-05T07:14:00 [req-7145b5] [移动云盘156:/encrypt] [propfind] Timings upstream=3.4938ms parse=22.575642ms decrypt=623.632µs entries=13 bytes=6913
alist-encrypt  | 2026-06-05T07:14:00 [req-7145b5] [移动云盘156:/encrypt] [request] PROPFIND /dav/移动云盘156/encrypt/encrypt/ status=207 bytes=6913 duration=27.058363ms
alist-encrypt  | 2026-06-05T07:14:00 [req-28ff87] [移动云盘156:/encrypt] [propfind] Alist response: status=207
alist-encrypt  | 2026-06-05T07:14:00 [req-83d0cf] [移动云盘156:/encrypt] [propfind] Alist response: status=207
alist-encrypt  | 2026-06-05T07:14:00 [req-28ff87] [移动云盘156:/encrypt] [propfind] Timings upstream=3.769644ms parse=2.29163ms decrypt=54.874µs entries=1 bytes=581
alist-encrypt  | 2026-06-05T07:14:00 [req-28ff87] [移动云盘156:/encrypt] [request] PROPFIND /dav/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part004.mp4 status=207 bytes=581 duration=6.241707ms
alist-encrypt  | 2026-06-05T07:14:00 [req-83d0cf] [移动云盘156:/encrypt] [propfind] Timings upstream=4.051919ms parse=1.771804ms decrypt=34.035µs entries=1 bytes=581
alist-encrypt  | 2026-06-05T07:14:00 [req-83d0cf] [移动云盘156:/encrypt] [request] PROPFIND /dav/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part003.mp4 status=207 bytes=581 duration=6.200942ms
alist-encrypt  | 2026-06-05T07:14:00 [req-1c6f4b] [移动云盘156:/encrypt] [webdav-get] Processing: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part005.mp4
alist-encrypt  | 2026-06-05T07:14:00 [req-1c6f4b] [移动云盘156:/encrypt] [webdav-get] Path converted: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part005.mp4 -> /移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0+5V+YO0--1.bin
alist-encrypt  | 2026-06-05T07:14:00 [req-1c6f4b] [移动云盘156:/encrypt] [webdav-get] raw_url fresh fetch failed, display=/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part005.mp4 real=/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0+5V+YO0--1.bin status=200 reason=raw_url_empty
alist-encrypt  | 2026-06-05T07:14:00 [req-1c6f4b] [移动云盘156:/encrypt] [webdav-get] Using /dav fallback target for display=/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part005.mp4
alist-encrypt  | 2026-06-05T07:14:00 [req-1c6f4b] [移动云盘156:/encrypt] [strategy] Using learned strategy file_info_cache for path /移动云盘156/encrypt (success=21)
alist-encrypt  | 2026-06-05T07:14:00 [req-1c6f4b] [移动云盘156:/encrypt] [webdav-get] File size: 1136828276, strategy: file_info_cache
alist-encrypt  | 2026-06-05T07:14:00 [req-1c6f4b] [移动云盘156:/encrypt] [webdav-get] Proxying with decryption, target=http://openalist:5244/dav/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0+5V+YO0--1.bin
alist-encrypt  | 2026-06-05T07:14:00 [req-f52955] [移动云盘156:/encrypt] [webdav-get] Processing: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part004.mp4
alist-encrypt  | 2026-06-05T07:14:00 [req-f52955] [移动云盘156:/encrypt] [webdav-get] Path converted: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part004.mp4 -> /移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg035V+YO0--6.bin
alist-encrypt  | 2026-06-05T07:14:00 [req-ecc430] [移动云盘156:/encrypt] [webdav-get] Processing: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part003.mp4
alist-encrypt  | 2026-06-05T07:14:00 [req-ecc430] [移动云盘156:/encrypt] [webdav-get] Path converted: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part003.mp4 -> /移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0p5V+YO0--3.bin
alist-encrypt  | 2026-06-05T07:14:00 [req-ecc430] [移动云盘156:/encrypt] [webdav-get] raw_url fresh fetch failed, display=/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part003.mp4 real=/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0p5V+YO0--3.bin status=200 reason=raw_url_empty
alist-encrypt  | 2026-06-05T07:14:00 [req-ecc430] [移动云盘156:/encrypt] [webdav-get] Using /dav fallback target for display=/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part003.mp4
alist-encrypt  | 2026-06-05T07:14:00 [req-ecc430] [移动云盘156:/encrypt] [strategy] Using learned strategy file_info_cache for path /移动云盘156/encrypt (success=22)
alist-encrypt  | 2026-06-05T07:14:00 [req-ecc430] [移动云盘156:/encrypt] [webdav-get] File size: 2168243790, strategy: file_info_cache
alist-encrypt  | 2026-06-05T07:14:00 [req-ecc430] [移动云盘156:/encrypt] [webdav-get] Proxying with decryption, target=http://openalist:5244/dav/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0p5V+YO0--3.bin
alist-encrypt  | 2026-06-05T07:14:00 [req-f52955] [移动云盘156:/encrypt] [webdav-get] raw_url fresh fetch failed, display=/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part004.mp4 real=/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg035V+YO0--6.bin status=200 reason=raw_url_empty
alist-encrypt  | 2026-06-05T07:14:00 [req-f52955] [移动云盘156:/encrypt] [webdav-get] Using /dav fallback target for display=/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part004.mp4
alist-encrypt  | 2026-06-05T07:14:00 [req-f52955] [移动云盘156:/encrypt] [strategy] Using learned strategy file_info_cache for path /移动云盘156/encrypt (success=23)
alist-encrypt  | 2026-06-05T07:14:00 [req-f52955] [移动云盘156:/encrypt] [webdav-get] File size: 2085670464, strategy: file_info_cache
alist-encrypt  | 2026-06-05T07:14:00 [req-f52955] [移动云盘156:/encrypt] [webdav-get] Proxying with decryption, target=http://openalist:5244/dav/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg035V+YO0--6.bin
alist-encrypt  | 2026-06-05T07:14:00+08:00 INF Inspected V2 playback content meta category=playback ciphertext_size=2085670464 consumer_scenario=webdav_get header_len=32 path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part004.mp4" plaintext_size=2085670432 target_url="http://openalist:5244/dav/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg035V+YO0--6.bin"
alist-encrypt  | 2026-06-05T07:14:00+08:00 INF Inspected V2 playback content meta category=playback ciphertext_size=1136828276 consumer_scenario=webdav_get header_len=32 path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part005.mp4" plaintext_size=1136828244 target_url="http://openalist:5244/dav/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0+5V+YO0--1.bin"
alist-encrypt  | 2026-06-05T07:14:00+08:00 INF Inspected V2 playback content meta category=playback ciphertext_size=2168243790 consumer_scenario=webdav_get header_len=32 path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part003.mp4" plaintext_size=2168243758 target_url="http://openalist:5244/dav/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0p5V+YO0--3.bin"
alist-encrypt  | 2026-06-05T07:14:00+08:00 INF Normalized V2 playback sizes ciphertext_size=2085670464 client_range= file_size_after=2085670432 file_size_before=2085670432 header_len=32 plaintext_size=2085670432 target_url=https://ykj-eos-dg5-01.eos-dongguan-6.cmecloud.cn/a8b547bf029f4718bc2e829ac5372858086?response-content-disposition=attachment%3B%20filename%2A%3DUTF-8%27%27i6a%2B5VOWe~OQG%2BctcG4of%2BmQeoHYlfL3cg035V%2BYO0--6.bin&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20260604T231400Z&X-Amz-SignedHeaders=host&X-Amz-Expires=900&X-Amz-Credential=9T1UKBIX6OJSR5XN2F2T%2F20260604%2Fdefault%2Fs3%2Faws4_request&t=2&u=1039986731129007951&ot=personal&oi=1039986731129007951&f=FjYQIyiNJFyXILcW9a9dIYZsHA1RxSQEl&ext=eyJ1dCI6MX0%3D&X-Amz-Signature=04b8e57272b580e960e4f3e69efa4a29d4b4bf3d64c7d47438ac3ea32b569bf6 upstream_content_range="bytes 0-2085670463/2085670464"
alist-encrypt  | 2026-06-05T07:14:00+08:00 INF Normalized V2 playback sizes ciphertext_size=1136828276 client_range= file_size_after=1136828244 file_size_before=1136828244 header_len=32 plaintext_size=1136828244 target_url=https://ykj-eos-dg5-01.eos-dongguan-6.cmecloud.cn/5f68a7bd490741119f14ed52d9e32f8e086?response-content-disposition=attachment%3B%20filename%2A%3DUTF-8%27%27i6a%2B5VOWe~OQG%2BctcG4of%2BmQeoHYlfL3cg0%2B5V%2BYO0--1.bin&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20260604T231400Z&X-Amz-SignedHeaders=host&X-Amz-Expires=900&X-Amz-Credential=9T1UKBIX6OJSR5XN2F2T%2F20260604%2Fdefault%2Fs3%2Faws4_request&t=2&u=1039986731129007951&ot=personal&oi=1039986731129007951&f=FttbFm-KrF2f7WHKwHZBJO6BVzgWwqwFn&ext=eyJ1dCI6MX0%3D&X-Amz-Signature=8214b9f11a77342d5f7e16f0466d303934e83a5614c78efc322bceed4e2060e3 upstream_content_range="bytes 0-1136828275/1136828276"
alist-encrypt  | 2026-06-05T07:14:00+08:00 INF Normalized V2 playback sizes ciphertext_size=2168243790 client_range= file_size_after=2168243758 file_size_before=2168243758 header_len=32 plaintext_size=2168243758 target_url=https://ykj-eos-dg5-01.eos-dongguan-6.cmecloud.cn/18b691d8280347da802530a78fbd8bf9086?response-content-disposition=attachment%3B%20filename%2A%3DUTF-8%27%27i6a%2B5VOWe~OQG%2BctcG4of%2BmQeoHYlfL3cg0p5V%2BYO0--3.bin&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20260604T231400Z&X-Amz-SignedHeaders=host&X-Amz-Expires=900&X-Amz-Credential=9T1UKBIX6OJSR5XN2F2T%2F20260604%2Fdefault%2Fs3%2Faws4_request&t=2&u=1039986731129007951&ot=personal&oi=1039986731129007951&f=FojDWJGOCQu69QjSOKm5H-bSz3boxglTu&ext=eyJ1dCI6MX0%3D&X-Amz-Signature=f3346852a3fd9f94bab2aa0709378e0416fba2ec84aad952adaf5f5967051ffe upstream_content_range="bytes 0-2168243789/2168243790"
alist-encrypt  | 2026-06-05T07:14:02+08:00 ERR Error streaming decrypted content error="context canceled"
alist-encrypt  | 2026-06-05T07:14:02+08:00 INF Decrypt playback attempt failed category=playback consumer_scenario=webdav_get display_path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part004.mp4" failure_reason=network_error fresh_retry=false path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part004.mp4" range= strategy=range target_url="http://openalist:5244/dav/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg035V+YO0--6.bin"
alist-encrypt  | 2026-06-05T07:14:02 [req-ab08b7] [移动云盘156:/encrypt] [webdav-get] Processing: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part004.mp4
alist-encrypt  | 2026-06-05T07:14:02 [req-ab08b7] [移动云盘156:/encrypt] [webdav-get] Path converted: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part004.mp4 -> /移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg035V+YO0--6.bin
alist-encrypt  | 2026-06-05T07:14:02 [req-ab08b7] [移动云盘156:/encrypt] [webdav-get] raw_url fresh fetch failed, display=/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part004.mp4 real=/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg035V+YO0--6.bin status=200 reason=raw_url_empty
