alist-encrypt  | 2026-06-04T20:17:32 [req-41c69d] [/] [propfind] Listing: /
alist-encrypt  | 2026-06-04T20:17:36 [req-4262e2] [移动云盘156:/已领取的资源] [propfind] Timings upstream=13.184635ms parse=707.133µs decrypt=127ns entries=2 bytes=1275
alist-encrypt  | 2026-06-04T20:17:36 [req-4262e2] [移动云盘156:/已领取的资源] [request] PROPFIND /dav/移动云盘156/已领取的资源/ status=207 bytes=1275 duration=14.022213ms
alist-encrypt  | 2026-06-04T20:17:36 [req-155f86] [移动云盘156:/植物大战僵尸v2.1] [propfind] Listing: /移动云盘156/植物大战僵尸v2.1/
alist-encrypt  | 2026-06-04T20:17:36 [req-155f86] [移动云盘156:/植物大战僵尸v2.1] [propfind] Request path=/移动云盘156/植物大战僵尸v2.1/ rule=none
alist-encrypt  | 2026-06-04T20:17:36 [req-155f86] [移动云盘156:/植物大战僵尸v2.1] [propfind] Alist response: status=207
alist-encrypt  | 2026-06-04T20:17:36 [req-155f86] [移动云盘156:/植物大战僵尸v2.1] [propfind] Timings upstream=6.280181ms parse=406.283µs decrypt=121ns entries=2 bytes=1331
alist-encrypt  | 2026-06-04T20:17:36 [req-155f86] [移动云盘156:/植物大战僵尸v2.1] [request] PROPFIND /dav/移动云盘156/植物大战僵尸v2.1/ status=207 bytes=1331 duration=6.813592ms
alist-encrypt  | 2026-06-04T20:17:36 [req-085774] [移动云盘156:/AI空间] [propfind] Listing: /移动云盘156/AI空间/
alist-encrypt  | 2026-06-04T20:17:36 [req-085774] [移动云盘156:/AI空间] [propfind] Request path=/移动云盘156/AI空间/ rule=none
alist-encrypt  | 2026-06-04T20:17:36 [req-085774] [移动云盘156:/AI空间] [propfind] Alist response: status=207
alist-encrypt  | 2026-06-04T20:17:36 [req-085774] [移动云盘156:/AI空间] [propfind] Timings upstream=6.161886ms parse=599.947µs decrypt=108ns entries=4 bytes=2391
alist-encrypt  | 2026-06-04T20:17:36 [req-085774] [移动云盘156:/AI空间] [request] PROPFIND /dav/移动云盘156/AI空间/ status=207 bytes=2391 duration=6.909821ms
alist-encrypt  | 2026-06-04T20:17:36 [req-15a148] [移动云盘156:/ChangAnAuto] [propfind] Listing: /移动云盘156/ChangAnAuto/
alist-encrypt  | 2026-06-04T20:17:36 [req-15a148] [移动云盘156:/ChangAnAuto] [propfind] Request path=/移动云盘156/ChangAnAuto/ rule=none
alist-encrypt  | 2026-06-04T20:17:36 [req-c40968] [移动云盘156:/encrypt] [propfind] Listing: /移动云盘156/encrypt/
alist-encrypt  | 2026-06-04T20:17:36 [req-c40968] [移动云盘156:/encrypt] [propfind] Request path=/移动云盘156/encrypt/ rule=FindByPath
alist-encrypt  | 2026-06-04T20:17:36 [req-15a148] [移动云盘156:/ChangAnAuto] [propfind] Alist response: status=207
alist-encrypt  | 2026-06-04T20:17:36 [req-15a148] [移动云盘156:/ChangAnAuto] [propfind] Timings upstream=172.564925ms parse=3.687245ms decrypt=142ns entries=2 bytes=1210
alist-encrypt  | 2026-06-04T20:17:36 [req-15a148] [移动云盘156:/ChangAnAuto] [request] PROPFIND /dav/移动云盘156/ChangAnAuto/ status=207 bytes=1210 duration=176.387262ms
alist-encrypt  | 2026-06-04T20:17:36 [req-c40968] [移动云盘156:/encrypt] [propfind] Alist response: status=207
alist-encrypt  | 2026-06-04T20:17:37 [req-c40968] [移动云盘156:/encrypt] [propfind] Timings upstream=29.764827ms parse=662.030623ms decrypt=100.909082ms entries=326 bytes=159929
alist-encrypt  | 2026-06-04T20:17:37 [req-c40968] [移动云盘156:/encrypt] [request] PROPFIND /dav/移动云盘156/encrypt/ status=207 bytes=159929 duration=800.030922ms
alist-encrypt  | 2026-06-04T20:17:37 [req-7f15a1] [移动云盘156:/encrypt] [propfind] Listing: /移动云盘156/encrypt/encrypt/
alist-encrypt  | 2026-06-04T20:17:37 [req-7f15a1] [移动云盘156:/encrypt] [propfind] Request path=/移动云盘156/encrypt/encrypt/ rule=FindByPath
alist-encrypt  | 2026-06-04T20:17:37 [req-eec3b9] [移动云盘156:/encrypt] [propfind] Listing: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part005.mp4
alist-encrypt  | 2026-06-04T20:17:37 [req-eec3b9] [移动云盘156:/encrypt] [propfind] Using cached enc path: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part005.mp4 -> /移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0+5V+YO0--1.bin rule=FindByPath
alist-encrypt  | 2026-06-04T20:17:37 [req-eec3b9] [移动云盘156:/encrypt] [propfind] Request path=/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0+5V+YO0--1.bin rule=FindByPath
alist-encrypt  | 2026-06-04T20:17:37 [req-eec3b9] [移动云盘156:/encrypt] [propfind] Alist response: status=207
alist-encrypt  | 2026-06-04T20:17:37 [req-eec3b9] [移动云盘156:/encrypt] [propfind] Timings upstream=4.060354ms parse=2.99191ms decrypt=80.576µs entries=1 bytes=581
alist-encrypt  | 2026-06-04T20:17:37 [req-eec3b9] [移动云盘156:/encrypt] [request] PROPFIND /dav/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part005.mp4 status=207 bytes=581 duration=7.291827ms
alist-encrypt  | 2026-06-04T20:17:37 [req-8c7104] [移动云盘156:/encrypt] [propfind] Listing: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part003.mp4
alist-encrypt  | 2026-06-04T20:17:37 [req-8c7104] [移动云盘156:/encrypt] [propfind] Using cached enc path: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part003.mp4 -> /移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0p5V+YO0--3.bin rule=FindByPath
alist-encrypt  | 2026-06-04T20:17:37 [req-8c7104] [移动云盘156:/encrypt] [propfind] Request path=/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0p5V+YO0--3.bin rule=FindByPath
alist-encrypt  | 2026-06-04T20:17:37 [req-1e95a8] [移动云盘156:/encrypt] [propfind] Listing: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part004.mp4
alist-encrypt  | 2026-06-04T20:17:37 [req-1e95a8] [移动云盘156:/encrypt] [propfind] Using cached enc path: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part004.mp4 -> /移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg035V+YO0--6.bin rule=FindByPath
alist-encrypt  | 2026-06-04T20:17:37 [req-1e95a8] [移动云盘156:/encrypt] [propfind] Request path=/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg035V+YO0--6.bin rule=FindByPath
alist-encrypt  | 2026-06-04T20:17:37 [req-1e95a8] [移动云盘156:/encrypt] [propfind] Alist response: status=207
alist-encrypt  | 2026-06-04T20:17:37 [req-8c7104] [移动云盘156:/encrypt] [propfind] Alist response: status=207
alist-encrypt  | 2026-06-04T20:17:37 [req-2dfa17] [移动云盘156:/encrypt] [webdav-get] Processing: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part005.mp4
alist-encrypt  | 2026-06-04T20:17:37 [req-2dfa17] [移动云盘156:/encrypt] [webdav-get] Path converted: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part005.mp4 -> /移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0+5V+YO0--1.bin
alist-encrypt  | 2026-06-04T20:17:37 [req-1e95a8] [移动云盘156:/encrypt] [propfind] Timings upstream=3.675096ms parse=3.631891ms decrypt=79.481µs entries=1 bytes=581
alist-encrypt  | 2026-06-04T20:17:37 [req-1e95a8] [移动云盘156:/encrypt] [request] PROPFIND /dav/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part004.mp4 status=207 bytes=581 duration=7.858857ms
alist-encrypt  | 2026-06-04T20:17:37 [req-2dfa17] [移动云盘156:/encrypt] [webdav-get] raw_url fresh fetch failed, display=/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part005.mp4 real=/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0+5V+YO0--1.bin status=200 reason=raw_url_empty
alist-encrypt  | 2026-06-04T20:17:37 [req-2dfa17] [移动云盘156:/encrypt] [webdav-get] Using /dav fallback target for display=/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part005.mp4
alist-encrypt  | 2026-06-04T20:17:37 [req-2dfa17] [移动云盘156:/encrypt] [strategy] Using learned strategy file_info_cache for path /移动云盘156/encrypt (success=31)
alist-encrypt  | 2026-06-04T20:17:37 [req-2dfa17] [移动云盘156:/encrypt] [webdav-get] File size: 1136828276, strategy: file_info_cache
alist-encrypt  | 2026-06-04T20:17:37 [req-2dfa17] [移动云盘156:/encrypt] [webdav-get] Proxying with decryption, target=http://openalist:5244/dav/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0+5V+YO0--1.bin
alist-encrypt  | 2026-06-04T20:17:37 [req-f1abba] [移动云盘156:/encrypt] [webdav-get] Processing: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part004.mp4
alist-encrypt  | 2026-06-04T20:17:37 [req-f1abba] [移动云盘156:/encrypt] [webdav-get] Path converted: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part004.mp4 -> /移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg035V+YO0--6.bin
alist-encrypt  | 2026-06-04T20:17:37 [req-f1abba] [移动云盘156:/encrypt] [webdav-get] raw_url fresh fetch failed, display=/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part004.mp4 real=/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg035V+YO0--6.bin status=200 reason=raw_url_empty
alist-encrypt  | 2026-06-04T20:17:37 [req-f1abba] [移动云盘156:/encrypt] [webdav-get] Using /dav fallback target for display=/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part004.mp4
alist-encrypt  | 2026-06-04T20:17:37 [req-f1abba] [移动云盘156:/encrypt] [strategy] Using learned strategy file_info_cache for path /移动云盘156/encrypt (success=32)
alist-encrypt  | 2026-06-04T20:17:37 [req-f1abba] [移动云盘156:/encrypt] [webdav-get] File size: 2085670464, strategy: file_info_cache
alist-encrypt  | 2026-06-04T20:17:37 [req-f1abba] [移动云盘156:/encrypt] [webdav-get] Proxying with decryption, target=http://openalist:5244/dav/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg035V+YO0--6.bin
alist-encrypt  | 2026-06-04T20:17:37 [req-8c7104] [移动云盘156:/encrypt] [propfind] Timings upstream=4.570232ms parse=25.495927ms decrypt=76.745µs entries=1 bytes=581
alist-encrypt  | 2026-06-04T20:17:37 [req-8c7104] [移动云盘156:/encrypt] [request] PROPFIND /dav/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part003.mp4 status=207 bytes=581 duration=30.3308ms
alist-encrypt  | 2026-06-04T20:17:37 [req-34c82d] [移动云盘156:/encrypt] [webdav-get] Processing: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part003.mp4
alist-encrypt  | 2026-06-04T20:17:37 [req-34c82d] [移动云盘156:/encrypt] [webdav-get] Path converted: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part003.mp4 -> /移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0p5V+YO0--3.bin
alist-encrypt  | 2026-06-04T20:17:37 [req-34c82d] [移动云盘156:/encrypt] [webdav-get] raw_url fresh fetch failed, display=/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part003.mp4 real=/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0p5V+YO0--3.bin status=200 reason=raw_url_empty
alist-encrypt  | 2026-06-04T20:17:37 [req-34c82d] [移动云盘156:/encrypt] [webdav-get] Using /dav fallback target for display=/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part003.mp4
alist-encrypt  | 2026-06-04T20:17:37 [req-34c82d] [移动云盘156:/encrypt] [strategy] Using learned strategy file_info_cache for path /移动云盘156/encrypt (success=33)
alist-encrypt  | 2026-06-04T20:17:37 [req-34c82d] [移动云盘156:/encrypt] [webdav-get] File size: 2168243790, strategy: file_info_cache
alist-encrypt  | 2026-06-04T20:17:37 [req-34c82d] [移动云盘156:/encrypt] [webdav-get] Proxying with decryption, target=http://openalist:5244/dav/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0p5V+YO0--3.bin
alist-encrypt  | 2026-06-04T20:17:37 [req-7f15a1] [移动云盘156:/encrypt] [propfind] Alist response: status=207
alist-encrypt  | 2026-06-04T20:17:37 [req-7f15a1] [移动云盘156:/encrypt] [propfind] Timings upstream=204.995429ms parse=32.792447ms decrypt=533.216µs entries=13 bytes=6913
alist-encrypt  | 2026-06-04T20:17:37 [req-7f15a1] [移动云盘156:/encrypt] [request] PROPFIND /dav/移动云盘156/encrypt/encrypt/ status=207 bytes=6913 duration=238.703845ms
alist-encrypt  | 2026-06-04T20:17:37+08:00 WRN Decrypted data looks encrypted — wrong password or file size? sample_len=512 unique_bytes=219 zeros=3
alist-encrypt  | 2026-06-04T20:17:37+08:00 INF Decrypt playback attempt failed category=playback consumer_scenario=webdav_get display_path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part005.mp4" failure_reason=decrypt_validation_failed fresh_retry=false path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part005.mp4" range= strategy=range target_url="http://openalist:5244/dav/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0+5V+YO0--1.bin"
alist-encrypt  | 2026-06-04T20:17:37+08:00 INF Decrypt playback attempt failed category=playback consumer_scenario=webdav_get display_path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part005.mp4" failure_reason=decrypt_validation_failed fresh_retry=true path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part005.mp4" range= strategy=range target_url="http://openalist:5244/dav/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0+5V+YO0--1.bin"
alist-encrypt  | 2026-06-04T20:17:37+08:00 WRN Decrypted data looks encrypted — wrong password or file size? sample_len=512 unique_bytes=223 zeros=1
alist-encrypt  | 2026-06-04T20:17:37+08:00 INF Decrypt playback attempt failed category=playback consumer_scenario=webdav_get display_path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part004.mp4" failure_reason=decrypt_validation_failed fresh_retry=false path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part004.mp4" range= strategy=range target_url="http://openalist:5244/dav/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg035V+YO0--6.bin"
alist-encrypt  | 2026-06-04T20:17:37+08:00 INF Decrypt playback attempt failed category=playback consumer_scenario=webdav_get display_path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part004.mp4" failure_reason=decrypt_validation_failed fresh_retry=true path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part004.mp4" range= strategy=range target_url="http://openalist:5244/dav/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg035V+YO0--6.bin"
alist-encrypt  | 2026-06-04T20:17:37+08:00 WRN Decrypted data looks encrypted — wrong password or file size? sample_len=512 unique_bytes=228 zeros=0
alist-encrypt  | 2026-06-04T20:17:37+08:00 INF Decrypt playback attempt failed category=playback consumer_scenario=webdav_get display_path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part003.mp4" failure_reason=decrypt_validation_failed fresh_retry=false path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part003.mp4" range= strategy=range target_url="http://openalist:5244/dav/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0p5V+YO0--3.bin"
alist-encrypt  | 2026-06-04T20:17:37+08:00 INF Decrypt playback attempt failed category=playback consumer_scenario=webdav_get display_path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part003.mp4" failure_reason=decrypt_validation_failed fresh_retry=true path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part003.mp4" range= strategy=range target_url="http://openalist:5244/dav/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0p5V+YO0--3.bin"
alist-encrypt  | 2026-06-04T20:17:38+08:00 WRN Decrypted data looks encrypted — wrong password or file size? sample_len=512 unique_bytes=219 zeros=3
alist-encrypt  | 2026-06-04T20:17:38+08:00 INF Decrypt playback attempt failed category=playback consumer_scenario=webdav_get display_path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part005.mp4" failure_reason=decrypt_validation_failed fresh_retry=false path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part005.mp4" range= strategy=range target_url="http://openalist:5244/dav/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0+5V+YO0--1.bin"
alist-encrypt  | 2026-06-04T20:17:38 [req-2dfa17] [移动云盘156:/encrypt] [request] GET /dav/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part005.mp4 status=502 bytes=44 duration=660.224774ms
alist-encrypt  | 2026-06-04T20:17:38+08:00 ERR WebDAV GET decryption failed error="decryption validation failed: output appears encrypted (wrong password or file size?)" failure=decrypt_validation_failed path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part005.mp4"
alist-encrypt  | 2026-06-04T20:17:38+08:00 WRN Decrypted data looks encrypted — wrong password or file size? sample_len=512 unique_bytes=223 zeros=1
alist-encrypt  | 2026-06-04T20:17:38+08:00 INF Decrypt playback attempt failed category=playback consumer_scenario=webdav_get display_path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part004.mp4" failure_reason=decrypt_validation_failed fresh_retry=false path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part004.mp4" range= strategy=range target_url="http://openalist:5244/dav/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg035V+YO0--6.bin"
alist-encrypt  | 2026-06-04T20:17:38 [req-f1abba] [移动云盘156:/encrypt] [request] GET /dav/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part004.mp4 status=502 bytes=44 duration=669.13647ms
alist-encrypt  | 2026-06-04T20:17:38+08:00 ERR WebDAV GET decryption failed error="decryption validation failed: output appears encrypted (wrong password or file size?)" failure=decrypt_validation_failed path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part004.mp4"
alist-encrypt  | 2026-06-04T20:17:38 [req-8758a5] [移动云盘156:/encrypt] [propfind] Listing: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4
alist-encrypt  | 2026-06-04T20:17:38 [req-8758a5] [移动云盘156:/encrypt] [propfind] Using cached enc path: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4 -> /移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0o5V+YO0--v.bin rule=FindByPath
alist-encrypt  | 2026-06-04T20:17:38 [req-8758a5] [移动云盘156:/encrypt] [propfind] Request path=/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0o5V+YO0--v.bin rule=FindByPath
alist-encrypt  | 2026-06-04T20:17:38 [req-8758a5] [移动云盘156:/encrypt] [propfind] Alist response: status=207
